DEPARTAMENTO,MUNICIPIO,CODIGO_DANE,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD
ARAUCA,ARAUCA (CT),81001000,1/01/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,1/01/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,4/01/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,5/01/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,6/01/2010,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,2
ARAUCA,ARAUCA (CT),81001000,7/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,8/01/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,9/01/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,9/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,9/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,9/01/2010,MASCULINO,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,9/01/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,10/01/2010,FEMENINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,10/01/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADOLESCENTES,1
ARAUCA,ARAUCA (CT),81001000,10/01/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,11/01/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,3
ARAUCA,ARAUCA (CT),81001000,11/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,14/01/2010,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADOLESCENTES,1
ARAUCA,ARAUCA (CT),81001000,16/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,16/01/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,16/01/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,17/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
ARAUCA,ARAUCA (CT),81001000,20/01/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,21/01/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,22/01/2010,FEMENINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,23/01/2010,MASCULINO,ARTÍCULO 239. HURTO MOTOCICLETAS,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,26/01/2010,FEMENINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,26/01/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,26/01/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,26/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,28/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,3
ARAUCA,ARAUCA (CT),81001000,29/01/2010,MASCULINO,ARTÍCULO 244. EXTORSIÓN,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,29/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,31/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
ARAUCA,ARAUCA (CT),81001000,31/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,1/02/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,3/02/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
ARAUCA,ARAUCA (CT),81001000,4/02/2010,FEMENINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,4/02/2010,FEMENINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,4/02/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,4/02/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,4/02/2010,MASCULINO,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,ADULTOS,1
