DEPARTAMENTO,MUNICIPIO,CODIGO_DANE,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD
ATLÁNTICO,BARANOA,8078000,7/01/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,10/01/2010,MASCULINO,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,12/01/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,17/01/2010,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,18/01/2010,MASCULINO,ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO),ADULTOS,1
ATLÁNTICO,BARANOA,8078000,24/01/2010,FEMENINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,3
ATLÁNTICO,BARANOA,8078000,24/01/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,6
ATLÁNTICO,BARANOA,8078000,27/01/2010,MASCULINO,ARTÍCULO 285. FALSEDAD MARCARIA,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,28/01/2010,MASCULINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,28/01/2010,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,29/01/2010,MASCULINO,ARTÍCULO 271. DEFRAUDACIÓN A LOS DERECHOS PATRIMONIALES DE AUTOR,ADULTOS,2
ATLÁNTICO,BARANOA,8078000,31/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,1/02/2010,MASCULINO,ARTÍCULO 120. LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),ADULTOS,1
ATLÁNTICO,BARANOA,8078000,2/02/2010,MASCULINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,3/02/2010,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,4/02/2010,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,5/02/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,8/02/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
ATLÁNTICO,BARANOA,8078000,8/02/2010,MASCULINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,2
ATLÁNTICO,BARANOA,8078000,12/02/2010,MASCULINO,ARTÍCULO 271. DEFRAUDACIÓN A LOS DERECHOS PATRIMONIALES DE AUTOR,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,13/02/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
ATLÁNTICO,BARANOA,8078000,14/02/2010,MASCULINO,ARTÍCULO 239. HURTO ABIGEATO,ADULTOS,3
ATLÁNTICO,BARANOA,8078000,14/02/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
