departamento,municipio,codigo_dane,fecha_hecho,genero,descripcion_conducta_captura,grupo_etario,cantidad
BOLÍVAR,ACHÍ,13006000,5/01/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,11/03/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,5
BOLÍVAR,ACHÍ,13006000,20/03/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,2
BOLÍVAR,ACHÍ,13006000,20/08/2010,FEMENINO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,20/10/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,17/01/2011,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,2
BOLÍVAR,ACHÍ,13006000,11/02/2011,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,13/02/2011,MASCULINO,ARTÍCULO 120. LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),ADULTOS,1
BOLÍVAR,ACHÍ,13006000,12/06/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,20/07/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,25/07/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,23/10/2011,MASCULINO,ARTÍCULO 340. CONCIERTO PARA DELINQUIR,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,23/10/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,12/12/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,4/01/2012,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
BOLÍVAR,ACHÍ,13006000,23/01/2012,FEMENINO,ARTÍCULO 342. CONCIERTO PARA DELINQUIR (CIRCUNSTANCIAS DE AGRAVACIÓN),ADULTOS,3
BOLÍVAR,ACHÍ,13006000,23/01/2012,MASCULINO,ARTÍCULO 342. CONCIERTO PARA DELINQUIR (CIRCUNSTANCIAS DE AGRAVACIÓN),ADULTOS,8
BOLÍVAR,ACHÍ,13006000,27/02/2012,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
BOLÍVAR,ACHÍ,13006000,15/04/2012,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,2
BOLÍVAR,ACHÍ,13006000,10/05/2012,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,28/05/2012,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADULTOS,3
BOLÍVAR,ACHÍ,13006000,13/07/2012,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,15/07/2012,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,16/07/2012,MASCULINO,ARTÍCULO 407. COHECHO POR DAR U OFRECER,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,21/09/2012,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,4/10/2012,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,14/10/2012,MASCULINO,ARTÍCULO 366. FABRICACIÓN. TRÁFICO Y PORTE DE ARMAS. MUNICIONES DE USO RESTRINGIDO. DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,31/10/2012,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ACHÍ,13006000,10/12/2012,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,22/01/2010,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,2
BOLÍVAR,ALTOS DEL ROSARIO,13030000,7/02/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,21/02/2010,MASCULINO,ARTÍCULO 271. DEFRAUDACIÓN A LOS DERECHOS PATRIMONIALES DE AUTOR,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,4/04/2010,MASCULINO,ARTÍCULO 271. DEFRAUDACIÓN A LOS DERECHOS PATRIMONIALES DE AUTOR,ADULTOS,2
BOLÍVAR,ALTOS DEL ROSARIO,13030000,20/08/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,22/08/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,25/08/2010,FEMENINO,ARTÍCULO 375. CONSERVACIÓN O FINANCIACIÓN DE PLANTACIONES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,25/08/2010,MASCULINO,ARTÍCULO 375. CONSERVACIÓN O FINANCIACIÓN DE PLANTACIONES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,29/10/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,29/10/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,6
BOLÍVAR,ALTOS DEL ROSARIO,13030000,18/04/2011,MASCULINO,ARTÍCULO 270. VIOLACIÓN A LOS DERECHOS MORALES DE AUTOR,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,27/04/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,7
BOLÍVAR,ALTOS DEL ROSARIO,13030000,27/05/2011,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,1/07/2011,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,2
BOLÍVAR,ALTOS DEL ROSARIO,13030000,9/08/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,27/08/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,20/10/2011,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,23/10/2011,FEMENINO,ARTÍCULO 340. CONCIERTO PARA DELINQUIR,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,23/10/2011,MASCULINO,ARTÍCULO 340. CONCIERTO PARA DELINQUIR,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,5/03/2012,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,6/03/2012,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,23/04/2012,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,5/05/2012,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,15/05/2012,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,23/05/2012,MASCULINO,ARTÍCULO 366. FABRICACIÓN. TRÁFICO Y PORTE DE ARMAS. MUNICIONES DE USO RESTRINGIDO. DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,28/05/2012,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,6/06/2012,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,16/07/2012,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,18/07/2012,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,20/07/2012,MASCULINO,ARTÍCULO 340. CONCIERTO PARA DELINQUIR,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,6/08/2012,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,24/08/2012,MASCULINO,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,3/09/2012,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
BOLÍVAR,ALTOS DEL ROSARIO,13030000,12/11/2012,FEMENINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
BOLÍVAR,ARENAL,13042000,18/01/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
BOLÍVAR,ARENAL,13042000,6/03/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
BOLÍVAR,ARENAL,13042000,1/04/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
