departamento,municipio,codigo_dane,fecha_hecho,genero,descripcion_conducta_captura,grupo_etario,cantidad
BOYACÁ,ALMEIDA,15022000,25/07/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,ALMEIDA,15022000,6/09/2010,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
BOYACÁ,ALMEIDA,15022000,18/08/2012,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,11/01/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,14/01/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,15/01/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,2
BOYACÁ,AQUITANIA,15047000,21/01/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,1/02/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,15/02/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,19/02/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,2
BOYACÁ,AQUITANIA,15047000,25/02/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,25/02/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,1/03/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,6/03/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,9/03/2010,MASCULINO,ARTÍCULO 246. ESTAFA,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,14/03/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,2
BOYACÁ,AQUITANIA,15047000,21/03/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,2
BOYACÁ,AQUITANIA,15047000,16/04/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,17/05/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,26/05/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,13/06/2010,FEMENINO,ARTÍCULO 239. HURTO ABIGEATO,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,13/06/2010,MASCULINO,ARTÍCULO 239. HURTO ABIGEATO,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,13/07/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,14/07/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,15/07/2010,FEMENINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,15/07/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,19/07/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,21/07/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,5/08/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,8/08/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,10/08/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,13/08/2010,MASCULINO,ARTÍCULO 271. DEFRAUDACIÓN A LOS DERECHOS PATRIMONIALES DE AUTOR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,19/08/2010,MASCULINO,ARTÍCULO 270. VIOLACIÓN A LOS DERECHOS MORALES DE AUTOR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,20/08/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,3/09/2010,FEMENINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,14/09/2010,FEMENINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,14/09/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,16/09/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,16/09/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,18/09/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,2
BOYACÁ,AQUITANIA,15047000,23/09/2010,FEMENINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,22/10/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,22/10/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,5/11/2010,FEMENINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,5/11/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,13/11/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,16/11/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,18/11/2010,FEMENINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,18/11/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,18/11/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,21/11/2010,FEMENINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
BOYACÁ,AQUITANIA,15047000,21/11/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
