DEPARTAMENTO,MUNICIPIO,CODIGO_DANE,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD
CALDAS,AGUADAS,17013000,2/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CALDAS,AGUADAS,17013000,21/01/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,2
CALDAS,AGUADAS,17013000,7/02/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
CALDAS,AGUADAS,17013000,15/02/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CALDAS,AGUADAS,17013000,17/02/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
CALDAS,AGUADAS,17013000,22/02/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
CALDAS,AGUADAS,17013000,22/02/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CALDAS,AGUADAS,17013000,26/02/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CALDAS,AGUADAS,17013000,10/03/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
CALDAS,AGUADAS,17013000,13/03/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CALDAS,AGUADAS,17013000,20/03/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
CALDAS,AGUADAS,17013000,4/04/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CALDAS,AGUADAS,17013000,12/04/2010,MASCULINO,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,ADULTOS,1
CALDAS,AGUADAS,17013000,22/04/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
