departamento,municipio,codigo_dane,fecha_hecho,genero,descripcion_conducta_captura,grupo_etario,cantidad
CASANARE,AGUAZUL,85010000,8/01/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CASANARE,AGUAZUL,85010000,14/01/2010,MASCULINO,ARTÍCULO 366. FABRICACIÓN. TRÁFICO Y PORTE DE ARMAS. MUNICIONES DE USO RESTRINGIDO. DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,15/01/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,25/01/2010,MASCULINO,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,ADOLESCENTES,1
CASANARE,AGUAZUL,85010000,26/01/2010,MASCULINO,ARTÍCULO 211. ACCESO CARNAL VIOLENTO (CIRCUNSTANCIAS AGRAVACIÓN),ADULTOS,1
CASANARE,AGUAZUL,85010000,27/01/2010,MASCULINO,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,29/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,29/01/2010,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,31/01/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,2/02/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,7/02/2010,FEMENINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,7/02/2010,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
CASANARE,AGUAZUL,85010000,16/02/2010,MASCULINO,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ADULTOS,1
CASANARE,AGUAZUL,85010000,17/02/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADOLESCENTES,1
CASANARE,AGUAZUL,85010000,25/02/2010,MASCULINO,ARTÍCULO 366. FABRICACIÓN. TRÁFICO Y PORTE DE ARMAS. MUNICIONES DE USO RESTRINGIDO. DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,25/02/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
CASANARE,AGUAZUL,85010000,12/03/2010,FEMENINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,26/03/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,7/04/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,13/04/2010,MASCULINO,ARTÍCULO 338. EXPLOTACIÓN ILÍCITA DE YACIMIENTO MINERO Y OTROS MATERIALES,ADULTOS,8
CASANARE,AGUAZUL,85010000,23/04/2010,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO,ADULTOS,1
CASANARE,AGUAZUL,85010000,29/04/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,9/05/2010,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO,ADULTOS,1
CASANARE,AGUAZUL,85010000,12/05/2010,MASCULINO,ARTÍCULO 244. EXTORSIÓN,ADULTOS,1
CASANARE,AGUAZUL,85010000,23/05/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
CASANARE,AGUAZUL,85010000,27/05/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,11/06/2010,MASCULINO,ARTÍCULO 331. DAÑOS EN LOS RECURSOS NATURALES,ADULTOS,2
CASANARE,AGUAZUL,85010000,13/06/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
CASANARE,AGUAZUL,85010000,14/06/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
CASANARE,AGUAZUL,85010000,26/06/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
CASANARE,AGUAZUL,85010000,1/07/2010,MASCULINO,ARTÍCULO 327 D. DESTINACIÓN ILEGAL DE COMBUSTIBLES,ADULTOS,1
CASANARE,AGUAZUL,85010000,3/07/2010,FEMENINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
CASANARE,AGUAZUL,85010000,14/07/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
CASANARE,AGUAZUL,85010000,16/07/2010,MASCULINO,ARTÍCULO 239. HURTO MOTOCICLETAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,25/07/2010,MASCULINO,ARTÍCULO 249. ABUSO DE CONFIANZA,ADULTOS,1
CASANARE,AGUAZUL,85010000,26/07/2010,MASCULINO,ARTÍCULO 249. ABUSO DE CONFIANZA,ADOLESCENTES,2
CASANARE,AGUAZUL,85010000,31/07/2010,MASCULINO,ARTÍCULO 189. VIOLACIÓN DE HABITACIÓN AJENA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,3/08/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CASANARE,AGUAZUL,85010000,9/08/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
CASANARE,AGUAZUL,85010000,11/08/2010,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,11/08/2010,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADULTOS,1
CASANARE,AGUAZUL,85010000,16/08/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,2
CASANARE,AGUAZUL,85010000,19/08/2010,MASCULINO,ARTÍCULO 366. FABRICACIÓN. TRÁFICO Y PORTE DE ARMAS. MUNICIONES DE USO RESTRINGIDO. DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,19/08/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CASANARE,AGUAZUL,85010000,23/08/2010,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
CASANARE,AGUAZUL,85010000,5/09/2010,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADULTOS,1
CASANARE,AGUAZUL,85010000,7/09/2010,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,13/09/2010,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,7/10/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
CASANARE,AGUAZUL,85010000,19/10/2010,FEMENINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,1
CASANARE,AGUAZUL,85010000,20/10/2010,MASCULINO,ARTÍCULO 448. FUGA DE PRESOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,3/11/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CASANARE,AGUAZUL,85010000,3/11/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,11/11/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,2
CASANARE,AGUAZUL,85010000,12/11/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,12/11/2010,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,14/11/2010,FEMENINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
CASANARE,AGUAZUL,85010000,17/11/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,26/11/2010,MASCULINO,ARTÍCULO 467. REBELIÓN,ADULTOS,1
CASANARE,AGUAZUL,85010000,27/11/2010,MASCULINO,ARTÍCULO 366. FABRICACIÓN. TRÁFICO Y PORTE DE ARMAS. MUNICIONES DE USO RESTRINGIDO. DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,14/12/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,17/12/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,19/12/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
CASANARE,AGUAZUL,85010000,27/12/2010,MASCULINO,ARTÍCULO 366. FABRICACIÓN. TRÁFICO Y PORTE DE ARMAS. MUNICIONES DE USO RESTRINGIDO. DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,1/01/2011,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,11/01/2011,FEMENINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,11/01/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,11/01/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
CASANARE,AGUAZUL,85010000,12/01/2011,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,13/01/2011,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,15/01/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,17/01/2011,FEMENINO,ARTÍCULO 188 A.- TRATA DE PERSONAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,20/01/2011,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
CASANARE,AGUAZUL,85010000,21/01/2011,FEMENINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
CASANARE,AGUAZUL,85010000,23/01/2011,MASCULINO,ARTÍCULO 366. FABRICACIÓN. TRÁFICO Y PORTE DE ARMAS. MUNICIONES DE USO RESTRINGIDO. DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,26/01/2011,FEMENINO,ARTÍCULO 467. REBELIÓN,ADULTOS,1
CASANARE,AGUAZUL,85010000,27/01/2011,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,29/01/2011,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,29/01/2011,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,29/01/2011,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,3/02/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,5/02/2011,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
CASANARE,AGUAZUL,85010000,5/02/2011,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CASANARE,AGUAZUL,85010000,10/02/2011,FEMENINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,10/02/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,10/02/2011,MASCULINO,ARTÍCULO 338. EXPLOTACIÓN ILÍCITA DE YACIMIENTO MINERO Y OTROS MATERIALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,16/02/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
CASANARE,AGUAZUL,85010000,20/02/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
CASANARE,AGUAZUL,85010000,21/02/2011,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CASANARE,AGUAZUL,85010000,22/02/2011,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
CASANARE,AGUAZUL,85010000,23/02/2011,MASCULINO,ARTÍCULO 340. CONCIERTO PARA DELINQUIR,ADULTOS,1
CASANARE,AGUAZUL,85010000,23/02/2011,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,23/02/2011,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADULTOS,1
CASANARE,AGUAZUL,85010000,25/02/2011,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CASANARE,AGUAZUL,85010000,26/02/2011,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
CASANARE,AGUAZUL,85010000,2/03/2011,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
CASANARE,AGUAZUL,85010000,4/03/2011,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,8/03/2011,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADOLESCENTES,1
CASANARE,AGUAZUL,85010000,9/03/2011,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
CASANARE,AGUAZUL,85010000,9/03/2011,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADOLESCENTES,1
CASANARE,AGUAZUL,85010000,13/03/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,16/03/2011,MASCULINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,1
CASANARE,AGUAZUL,85010000,22/03/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CASANARE,AGUAZUL,85010000,23/03/2011,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,24/03/2011,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CASANARE,AGUAZUL,85010000,25/03/2011,MASCULINO,ARTÍCULO 296. FALSEDAD PERSONAL,ADULTOS,1
CASANARE,AGUAZUL,85010000,29/03/2011,FEMENINO,ARTÍCULO 467. REBELIÓN,ADULTOS,1
CASANARE,AGUAZUL,85010000,29/03/2011,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,2/04/2011,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,2
CASANARE,AGUAZUL,85010000,7/04/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,10/04/2011,MASCULINO,ARTÍCULO 338. EXPLOTACIÓN ILÍCITA DE YACIMIENTO MINERO Y OTROS MATERIALES,ADULTOS,7
CASANARE,AGUAZUL,85010000,12/04/2011,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,15/04/2011,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,15/04/2011,MASCULINO,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),ADULTOS,1
CASANARE,AGUAZUL,85010000,19/04/2011,FEMENINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,19/04/2011,FEMENINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
CASANARE,AGUAZUL,85010000,19/04/2011,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,2
CASANARE,AGUAZUL,85010000,28/04/2011,MASCULINO,ARTÍCULO 366. FABRICACIÓN. TRÁFICO Y PORTE DE ARMAS. MUNICIONES DE USO RESTRINGIDO. DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,29/04/2011,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
CASANARE,AGUAZUL,85010000,30/04/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,1/05/2011,FEMENINO,ARTÍCULO 467. REBELIÓN,ADULTOS,1
CASANARE,AGUAZUL,85010000,4/05/2011,MASCULINO,ARTÍCULO 244. EXTORSIÓN,ADULTOS,1
CASANARE,AGUAZUL,85010000,8/05/2011,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,16/05/2011,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,21/05/2011,MASCULINO,ARTÍCULO 244. EXTORSIÓN,ADULTOS,1
CASANARE,AGUAZUL,85010000,24/05/2011,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,25/05/2011,MASCULINO,ARTÍCULO 468. SEDICIÓN,ADULTOS,1
CASANARE,AGUAZUL,85010000,3/06/2011,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CASANARE,AGUAZUL,85010000,3/06/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
CASANARE,AGUAZUL,85010000,9/06/2011,MASCULINO,ARTÍCULO 296. FALSEDAD PERSONAL,ADULTOS,1
CASANARE,AGUAZUL,85010000,11/06/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
CASANARE,AGUAZUL,85010000,14/06/2011,MASCULINO,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),ADULTOS,1
CASANARE,AGUAZUL,85010000,15/06/2011,MASCULINO,ARTÍCULO 366. FABRICACIÓN. TRÁFICO Y PORTE DE ARMAS. MUNICIONES DE USO RESTRINGIDO. DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS,ADULTOS,1
CASANARE,AGUAZUL,85010000,17/06/2011,MASCULINO,ARTÍCULO 239. HURTO AUTOMOTORES,ADULTOS,1
CASANARE,AGUAZUL,85010000,20/06/2011,MASCULINO,ARTÍCULO 244. EXTORSIÓN,ADULTOS,1
CASANARE,AGUAZUL,85010000,24/06/2011,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,24/06/2011,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CASANARE,AGUAZUL,85010000,25/06/2011,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CASANARE,AGUAZUL,85010000,2/07/2011,MASCULINO,ARTÍCULO 287. FALSEDAD MATERIAL EN DOCUMENTO PÚBLICO,ADULTOS,1
CASANARE,AGUAZUL,85010000,7/07/2011,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,1
CASANARE,AGUAZUL,85010000,8/07/2011,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,20/07/2011,MASCULINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,1
CASANARE,AGUAZUL,85010000,21/07/2011,MASCULINO,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,ADULTOS,1
CASANARE,AGUAZUL,85010000,28/07/2011,FEMENINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
CASANARE,AGUAZUL,85010000,29/07/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,2
