DEPARTAMENTO,MUNICIPIO,CODIGO_DANE,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD
CAUCA,ALMAGUER,19022000,6/01/2010,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADULTOS,1
CAUCA,ALMAGUER,19022000,13/01/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
CAUCA,ALMAGUER,19022000,3/02/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CAUCA,ALMAGUER,19022000,23/09/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,2
CAUCA,ALMAGUER,19022000,2/04/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
CAUCA,ALMAGUER,19022000,1/06/2011,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CAUCA,ALMAGUER,19022000,8/10/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CAUCA,ALMAGUER,19022000,1/11/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
CAUCA,ALMAGUER,19022000,9/01/2012,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CAUCA,ALMAGUER,19022000,12/04/2012,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CAUCA,ARGELIA,19050000,3/01/2010,FEMENINO,ARTÍCULO 323. LAVADO DE ACTIVOS,ADULTOS,1
CAUCA,ARGELIA,19050000,3/01/2010,MASCULINO,ARTÍCULO 323. LAVADO DE ACTIVOS,ADULTOS,1
CAUCA,ARGELIA,19050000,5/01/2010,MASCULINO,ARTÍCULO 244. EXTORSIÓN,ADULTOS,1
CAUCA,ARGELIA,19050000,15/01/2010,MASCULINO,ARTÍCULO 358. TENENCIA. FABRICACIÓN. Y TRÁFICO DE SUSTANCIAS U OBJETOS PELIGROSOS,ADOLESCENTES,1
