departamento,municipio,codigo_dane,fecha_hecho,genero,descripcion_conducta_captura,grupo_etario,cantidad
CÓRDOBA,AYAPEL,23068000,6/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,13/01/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,5
CÓRDOBA,AYAPEL,23068000,14/01/2010,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,20/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,29/01/2010,MASCULINO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,9/02/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,9/02/2010,MASCULINO,ARTÍCULO 336. CAZA ILEGAL,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,11/02/2010,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,17/02/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,18/02/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,20/02/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,25/02/2010,MASCULINO,ARTÍCULO 244. EXTORSIÓN,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,4/03/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,3
CÓRDOBA,AYAPEL,23068000,10/03/2010,MASCULINO,ARTÍCULO 382. TRÁFICO DE SUSTANCIAS PARA PROCESAMIENTO DE NARCÓTICOS,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,12/03/2010,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,14/03/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,16/03/2010,MASCULINO,ARTÍCULO 382. TRÁFICO DE SUSTANCIAS PARA PROCESAMIENTO DE NARCÓTICOS,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,18/03/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,3
CÓRDOBA,AYAPEL,23068000,21/03/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,12/04/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,4
CÓRDOBA,AYAPEL,23068000,19/04/2010,MASCULINO,ARTÍCULO 340. CONCIERTO PARA DELINQUIR,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,19/04/2010,MASCULINO,ARTÍCULO 448. FUGA DE PRESOS,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,22/04/2010,MASCULINO,ARTÍCULO 271. DEFRAUDACIÓN A LOS DERECHOS PATRIMONIALES DE AUTOR,ADULTOS,1
CÓRDOBA,AYAPEL,23068000,23/04/2010,MASCULINO,ARTÍCULO 375. CONSERVACIÓN O FINANCIACIÓN DE PLANTACIONES,ADULTOS,1
