DEPARTAMENTO,MUNICIPIO,CODIGO_DANE,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD
GUAJIRA,ALBANIA,44035000,27/01/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,2
GUAJIRA,ALBANIA,44035000,19/02/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
GUAJIRA,ALBANIA,44035000,17/03/2010,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
GUAJIRA,ALBANIA,44035000,25/03/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,3
GUAJIRA,ALBANIA,44035000,16/04/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
GUAJIRA,ALBANIA,44035000,26/04/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
GUAJIRA,ALBANIA,44035000,29/04/2010,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
GUAJIRA,ALBANIA,44035000,30/04/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,3
GUAJIRA,ALBANIA,44035000,7/05/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,2
GUAJIRA,ALBANIA,44035000,3/06/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,2
GUAJIRA,ALBANIA,44035000,7/06/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
GUAJIRA,ALBANIA,44035000,12/07/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
GUAJIRA,ALBANIA,44035000,31/07/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
GUAJIRA,ALBANIA,44035000,3/08/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,2
GUAJIRA,ALBANIA,44035000,6/08/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
GUAJIRA,ALBANIA,44035000,15/08/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
GUAJIRA,ALBANIA,44035000,28/08/2010,MASCULINO,ARTÍCULO 307. USO ILEGÍTIMO DE PATENTES.,ADULTOS,2
GUAJIRA,ALBANIA,44035000,14/10/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,2
GUAJIRA,ALBANIA,44035000,21/10/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAJIRA,ALBANIA,44035000,24/10/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
GUAJIRA,ALBANIA,44035000,6/11/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
GUAJIRA,ALBANIA,44035000,5/12/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
GUAJIRA,ALBANIA,44035000,25/12/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
GUAJIRA,ALBANIA,44035000,30/12/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
GUAJIRA,ALBANIA,44035000,1/01/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
GUAJIRA,ALBANIA,44035000,5/03/2011,MASCULINO,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ADULTOS,1
GUAJIRA,ALBANIA,44035000,9/03/2011,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,2
GUAJIRA,ALBANIA,44035000,27/03/2011,MASCULINO,ARTÍCULO 135. HOMICIDIO EN PERSONA PROTEGIDA.,ADULTOS,1
GUAJIRA,ALBANIA,44035000,9/04/2011,MASCULINO,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ADULTOS,1
GUAJIRA,ALBANIA,44035000,17/04/2011,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
