DEPARTAMENTO,MUNICIPIO,CODIGO_DANE,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD
GUAVIARE,CALAMAR,95015000,1/01/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
GUAVIARE,CALAMAR,95015000,13/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,16/01/2010,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
GUAVIARE,CALAMAR,95015000,16/04/2010,MASCULINO,ARTÍCULO 382. TRÁFICO DE SUSTANCIAS PARA PROCESAMIENTO DE NARCÓTICOS,ADULTOS,1
GUAVIARE,CALAMAR,95015000,18/04/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,4
GUAVIARE,CALAMAR,95015000,4/05/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,5/05/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,15/05/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,9/06/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,22/08/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,10/09/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,13/09/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,29/09/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,5/10/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,11/11/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,12/11/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,5/12/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,8/01/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,31/01/2011,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,19/02/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
GUAVIARE,CALAMAR,95015000,9/04/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
GUAVIARE,CALAMAR,95015000,16/04/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,28/04/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,4
GUAVIARE,CALAMAR,95015000,2/05/2011,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
GUAVIARE,CALAMAR,95015000,2/05/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
GUAVIARE,CALAMAR,95015000,8/05/2011,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,11/05/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,2/06/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,12/06/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
GUAVIARE,CALAMAR,95015000,15/07/2011,MASCULINO,ARTÍCULO 467. REBELIÓN,ADULTOS,1
GUAVIARE,CALAMAR,95015000,26/07/2011,MASCULINO,ARTÍCULO 366. FABRICACIÓN. TRÁFICO Y PORTE DE ARMAS. MUNICIONES DE USO RESTRINGIDO. DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS,ADULTOS,1
GUAVIARE,CALAMAR,95015000,3/08/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,5/08/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,6/09/2011,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
GUAVIARE,CALAMAR,95015000,30/10/2011,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,1/11/2011,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,28/12/2011,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
GUAVIARE,CALAMAR,95015000,15/01/2012,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
GUAVIARE,CALAMAR,95015000,22/01/2012,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADOLESCENTES,1
GUAVIARE,CALAMAR,95015000,10/02/2012,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
GUAVIARE,CALAMAR,95015000,12/02/2012,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
GUAVIARE,CALAMAR,95015000,24/03/2012,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,1/04/2012,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
GUAVIARE,CALAMAR,95015000,8/04/2012,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,21/05/2012,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,2/06/2012,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
GUAVIARE,CALAMAR,95015000,21/06/2012,MASCULINO,ARTÍCULO 343. TERRORISMO,ADULTOS,2
GUAVIARE,CALAMAR,95015000,5/07/2012,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
