DEPARTAMENTO,MUNICIPIO,CODIGO_DANE,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD
MAGDALENA,ALGARROBO,47030000,19/01/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADOLESCENTES,1
MAGDALENA,ALGARROBO,47030000,21/01/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,2
MAGDALENA,ALGARROBO,47030000,4/03/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,2
MAGDALENA,ALGARROBO,47030000,5/03/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,2
MAGDALENA,ALGARROBO,47030000,22/03/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,6/05/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,12/05/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,16/05/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,2
MAGDALENA,ALGARROBO,47030000,17/05/2010,FEMENINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,21/05/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,1/07/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADOLESCENTES,1
MAGDALENA,ALGARROBO,47030000,8/07/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,9/07/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,2
MAGDALENA,ALGARROBO,47030000,13/08/2010,MASCULINO,ARTÍCULO 244. EXTORSIÓN,ADULTOS,2
MAGDALENA,ALGARROBO,47030000,5/10/2010,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,5/12/2010,MASCULINO,ARTÍCULO 340. CONCIERTO PARA DELINQUIR,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,6/02/2011,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,15/02/2011,MASCULINO,ARTÍCULO 367 A.  EMPLEO. PRODUCCIÓN COMERCIALIZACIÓN Y ALMACENAMIENTO DE MINAS ANTIPERSONA,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,15/02/2011,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,6/03/2011,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,19/03/2011,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,3/04/2011,FEMENINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,3/04/2011,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
MAGDALENA,ALGARROBO,47030000,19/04/2011,MASCULINO,ARTÍCULO 211. ACCESO CARNAL VIOLENTO (CIRCUNSTANCIAS AGRAVACIÓN),ADULTOS,1
MAGDALENA,ALGARROBO,47030000,22/04/2011,MASCULINO,ARTÍCULO 397. PECULADO POR APROPIACIÓN,ADULTOS,1
