departamento,municipio,codigo_dane,fecha_hecho,genero,descripcion_conducta_captura,grupo_etario,cantidad
META,ACACÍAS,50006000,5/01/2010,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,1
META,ACACÍAS,50006000,6/01/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
META,ACACÍAS,50006000,8/01/2010,MASCULINO,ARTÍCULO 246. ESTAFA,ADULTOS,1
META,ACACÍAS,50006000,11/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
META,ACACÍAS,50006000,15/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
META,ACACÍAS,50006000,17/01/2010,FEMENINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
META,ACACÍAS,50006000,20/01/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
META,ACACÍAS,50006000,24/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
META,ACACÍAS,50006000,28/01/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
META,ACACÍAS,50006000,29/01/2010,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,2
META,ACACÍAS,50006000,31/01/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,3
META,ACACÍAS,50006000,1/02/2010,MASCULINO,ARTÍCULO 338. EXPLOTACIÓN ILÍCITA DE YACIMIENTO MINERO Y OTROS MATERIALES,ADULTOS,5
META,ACACÍAS,50006000,2/02/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
META,ACACÍAS,50006000,5/02/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
META,ACACÍAS,50006000,7/02/2010,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
META,ACACÍAS,50006000,11/02/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
META,ACACÍAS,50006000,15/02/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
META,ACACÍAS,50006000,23/02/2010,FEMENINO,ARTÍCULO 312. EJERCICIO ILÍCITO DE ACTIVIDAD MONOPOLÍSTICA DE ARBITRIO RENTÍSTICO,ADULTOS,1
META,ACACÍAS,50006000,24/02/2010,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADULTOS,1
META,ACACÍAS,50006000,24/02/2010,MASCULINO,ARTÍCULO 244. EXTORSIÓN,ADULTOS,1
META,ACACÍAS,50006000,11/03/2010,FEMENINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
META,ACACÍAS,50006000,11/03/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
META,ACACÍAS,50006000,15/03/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
META,ACACÍAS,50006000,18/03/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADOLESCENTES,2
META,ACACÍAS,50006000,19/03/2010,MASCULINO,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,ADULTOS,1
META,ACACÍAS,50006000,20/03/2010,MASCULINO,ARTÍCULO 340. CONCIERTO PARA DELINQUIR,ADULTOS,1
META,ACACÍAS,50006000,26/03/2010,MASCULINO,ARTÍCULO 286. FALSEDAD IDEOLÓGICA EN DOCUMENTO PÚBLICO,ADULTOS,1
META,ACACÍAS,50006000,27/03/2010,MASCULINO,ARTÍCULO 239. HURTO RESIDENCIAS,ADOLESCENTES,1
META,ACACÍAS,50006000,5/04/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADOLESCENTES,1
META,ACACÍAS,50006000,8/04/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
META,ACACÍAS,50006000,10/04/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
META,ACACÍAS,50006000,12/04/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
META,ACACÍAS,50006000,15/04/2010,MASCULINO,ARTÍCULO 382. TRÁFICO DE SUSTANCIAS PARA PROCESAMIENTO DE NARCÓTICOS,ADULTOS,2
META,ACACÍAS,50006000,23/04/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
META,ACACÍAS,50006000,25/04/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
META,ACACÍAS,50006000,25/04/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
META,ACACÍAS,50006000,28/04/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
META,ACACÍAS,50006000,6/05/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
META,ACACÍAS,50006000,8/05/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
META,ACACÍAS,50006000,14/05/2010,FEMENINO,ARTÍCULO 447. RECEPTACIÓN,ADULTOS,1
