DEPARTAMENTO,MUNICIPIO,CODIGO_DANE,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD
NORTE DE SANTANDER,ABREGO,54003000,10/01/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,3
NORTE DE SANTANDER,ABREGO,54003000,28/01/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADOLESCENTES,1
NORTE DE SANTANDER,ABREGO,54003000,5/02/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,7/02/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,17/02/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,2
NORTE DE SANTANDER,ABREGO,54003000,20/02/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,14/03/2010,FEMENINO,ARTÍCULO 394. ALTERACIÓN DE RESULTADOS ELECTORALES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,20/03/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,28/03/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,1/04/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,7/04/2010,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,7/04/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,2
NORTE DE SANTANDER,ABREGO,54003000,18/04/2010,MASCULINO,ARTÍCULO 217. ESTÍMULO A LA PROSTITUCIÓN DE MENORES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,21/04/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,2
NORTE DE SANTANDER,ABREGO,54003000,26/04/2010,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,28/04/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,3/05/2010,FEMENINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,3/05/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,6/05/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,9/05/2010,MASCULINO,ARTÍCULO 366. FABRICACIÓN. TRÁFICO Y PORTE DE ARMAS. MUNICIONES DE USO RESTRINGIDO. DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,10/05/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,23/05/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,26/05/2010,MASCULINO,ARTÍCULO 239. HURTO AUTOMOTORES,ADULTOS,2
NORTE DE SANTANDER,ABREGO,54003000,24/06/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADOLESCENTES,1
NORTE DE SANTANDER,ABREGO,54003000,24/06/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,30/06/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,26/07/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,26/07/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,30/07/2010,MASCULINO,ARTÍCULO 467. REBELIÓN,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,10/08/2010,MASCULINO,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,17/08/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,24/08/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,10/09/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,12/09/2010,MASCULINO,ARTÍCULO 338. EXPLOTACIÓN ILÍCITA DE YACIMIENTO MINERO Y OTROS MATERIALES,ADULTOS,2
NORTE DE SANTANDER,ABREGO,54003000,18/09/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,19/09/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,22/09/2010,MASCULINO,ARTÍCULO 320-1. FAVORECIMIENTO DE CONTRABANDO DE HIDROCARBUROS,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,26/09/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,1/10/2010,MASCULINO,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,ADULTOS,1
