DEPARTAMENTO,MUNICIPIO,CODIGO_DANE,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD
QUINDÍO,ARMENIA (CT),63001000,1/01/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,1/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,3
QUINDÍO,ARMENIA (CT),63001000,1/01/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,2/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,2/01/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,2/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,2/01/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,2/01/2010,MASCULINO,ARTÍCULO 467. REBELIÓN,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,3/01/2010,FEMENINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,3/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,3/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,4
QUINDÍO,ARMENIA (CT),63001000,3/01/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,3
QUINDÍO,ARMENIA (CT),63001000,4/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,4/01/2010,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,4/01/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,4/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,5
QUINDÍO,ARMENIA (CT),63001000,4/01/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,5/01/2010,FEMENINO,ARTÍCULO 239. HURTO PERSONAS,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,5/01/2010,FEMENINO,ARTÍCULO 270. VIOLACIÓN A LOS DERECHOS MORALES DE AUTOR,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,5/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,5/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,6
QUINDÍO,ARMENIA (CT),63001000,6/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,6/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,3
QUINDÍO,ARMENIA (CT),63001000,6/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,3
QUINDÍO,ARMENIA (CT),63001000,7/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,7/01/2010,MASCULINO,ARTÍCULO 312. EJERCICIO ILÍCITO DE ACTIVIDAD MONOPOLÍSTICA DE ARBITRIO RENTÍSTICO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,7/01/2010,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,7/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,7/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,9
QUINDÍO,ARMENIA (CT),63001000,8/01/2010,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,8/01/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,8/01/2010,MASCULINO,ARTÍCULO 246. ESTAFA,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,8/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,3
QUINDÍO,ARMENIA (CT),63001000,8/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,11
QUINDÍO,ARMENIA (CT),63001000,9/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,9/01/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,9/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,9/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,10
QUINDÍO,ARMENIA (CT),63001000,9/01/2010,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,10/01/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,10/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,2
QUINDÍO,ARMENIA (CT),63001000,10/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,13
QUINDÍO,ARMENIA (CT),63001000,11/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,11/01/2010,MASCULINO,ARTÍCULO 249. ABUSO DE CONFIANZA,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,11/01/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,11/01/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,11/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,8
QUINDÍO,ARMENIA (CT),63001000,11/01/2010,MASCULINO,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,11/01/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,12/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,12/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,12/01/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,12/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,7
QUINDÍO,ARMENIA (CT),63001000,12/01/2010,MASCULINO,ARTÍCULO 274. TRÁFICO DE MONEDA FALSIFICADA,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,13/01/2010,FEMENINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,13/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,13/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,13/01/2010,MASCULINO,ARTÍCULO 271. DEFRAUDACIÓN A LOS DERECHOS PATRIMONIALES DE AUTOR,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,13/01/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,13/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,10
QUINDÍO,ARMENIA (CT),63001000,13/01/2010,MASCULINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,14/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,14/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,11
QUINDÍO,ARMENIA (CT),63001000,14/01/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,15/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,15/01/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,15/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,2
QUINDÍO,ARMENIA (CT),63001000,15/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,5
QUINDÍO,ARMENIA (CT),63001000,15/01/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,16/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,16/01/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,16/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,16/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,10
QUINDÍO,ARMENIA (CT),63001000,17/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,17/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,17/01/2010,MASCULINO,ARTÍCULO 233. INASISTENCIA ALIMENTARIA.,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,17/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,3
QUINDÍO,ARMENIA (CT),63001000,18/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,3
QUINDÍO,ARMENIA (CT),63001000,18/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,10
QUINDÍO,ARMENIA (CT),63001000,18/01/2010,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,19/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,19/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,19/01/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,19/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,19/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,14
QUINDÍO,ARMENIA (CT),63001000,20/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,20/01/2010,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,20/01/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,20/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,20/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,7
QUINDÍO,ARMENIA (CT),63001000,20/01/2010,MASCULINO,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,21/01/2010,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,21/01/2010,MASCULINO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,21/01/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,21/01/2010,MASCULINO,ARTÍCULO 350.  INCENDIO,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,21/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,8
QUINDÍO,ARMENIA (CT),63001000,21/01/2010,MASCULINO,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,22/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,22/01/2010,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,22/01/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,22/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,3
QUINDÍO,ARMENIA (CT),63001000,22/01/2010,MASCULINO,ARTÍCULO 331. DAÑOS EN LOS RECURSOS NATURALES,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,23/01/2010,FEMENINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,23/01/2010,FEMENINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,2
QUINDÍO,ARMENIA (CT),63001000,23/01/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,23/01/2010,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
