DEPARTAMENTO,MUNICIPIO,CODIGO_DANE,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD
SUCRE,BUENAVISTA,70110000,30/01/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,2
SUCRE,BUENAVISTA,70110000,18/02/2010,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,1
SUCRE,BUENAVISTA,70110000,14/03/2010,MASCULINO,ARTÍCULO 395. OCULTAMIENTO. RETENCIÓN. Y POSESIÓN ILÍCITA  DE CÉDULA,ADULTOS,1
SUCRE,BUENAVISTA,70110000,9/04/2010,MASCULINO,ARTÍCULO 120. LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),ADOLESCENTES,1
SUCRE,BUENAVISTA,70110000,13/06/2010,FEMENINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
SUCRE,BUENAVISTA,70110000,8/08/2010,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
SUCRE,BUENAVISTA,70110000,29/08/2010,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
SUCRE,BUENAVISTA,70110000,31/08/2010,FEMENINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
SUCRE,BUENAVISTA,70110000,31/08/2010,MASCULINO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ADULTOS,1
SUCRE,BUENAVISTA,70110000,4/09/2010,MASCULINO,ARTÍCULO 270. VIOLACIÓN A LOS DERECHOS MORALES DE AUTOR,ADULTOS,1
SUCRE,BUENAVISTA,70110000,25/12/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
SUCRE,BUENAVISTA,70110000,29/12/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
SUCRE,BUENAVISTA,70110000,30/12/2010,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,3
SUCRE,BUENAVISTA,70110000,30/12/2010,MASCULINO,ARTÍCULO 365. FABRICACIÓN. TRÁFICO. PORTE O TENENCIA DE ARMAS DE FUEGO.ACCESORIOS. PARTES O MUNICIONES,ADULTOS,1
SUCRE,BUENAVISTA,70110000,31/01/2011,MASCULINO,ARTÍCULO 270. VIOLACIÓN A LOS DERECHOS MORALES DE AUTOR,ADULTOS,1
SUCRE,BUENAVISTA,70110000,3/03/2011,MASCULINO,ARTÍCULO 256. DEFRAUDACIÓN DE FLUIDOS,ADULTOS,1
SUCRE,BUENAVISTA,70110000,7/03/2011,MASCULINO,ARTÍCULO 265. DAÑO EN BIEN AJENO,ADOLESCENTES,1
SUCRE,BUENAVISTA,70110000,8/03/2011,MASCULINO,ARTÍCULO 270. VIOLACIÓN A LOS DERECHOS MORALES DE AUTOR,ADULTOS,1
SUCRE,BUENAVISTA,70110000,8/03/2011,MASCULINO,ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR,ADULTOS,1
SUCRE,BUENAVISTA,70110000,10/03/2011,MASCULINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,1
SUCRE,BUENAVISTA,70110000,18/03/2011,MASCULINO,ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,ADULTOS,2
SUCRE,BUENAVISTA,70110000,22/03/2011,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADULTOS,1
SUCRE,BUENAVISTA,70110000,14/05/2011,FEMENINO,ARTÍCULO 249. ABUSO DE CONFIANZA,ADOLESCENTES,1
SUCRE,BUENAVISTA,70110000,2/06/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
SUCRE,BUENAVISTA,70110000,4/06/2011,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
SUCRE,BUENAVISTA,70110000,9/06/2011,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADOLESCENTES,1
SUCRE,BUENAVISTA,70110000,18/06/2011,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADOLESCENTES,1
